"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE CONCHALÍ","MU062","75,30","2014"
"MUNICIPALIDAD DE HUECHURABA","MU109","6,65","2014"
"MUNICIPALIDAD DE ISLA DE MAIPO","MU113","98,10","2014"
"MUNICIPALIDAD DE LA FLORIDA","MU120","19,95","2014"
"MUNICIPALIDAD DE LA PINTANA","MU124","96,20","2014"
"MUNICIPALIDAD DE ALTO HOSPICIO","MU005","47,50","2014"
"MUNICIPALIDAD DE CABO DE HORNOS Y ANTÁRTICA","MU017","95,25","2014"
"MUNICIPALIDAD DE CAMIÑA","MU025","9,50","2014"
"MUNICIPALIDAD DE COLCHANE","MU056","47,50","2014"
"MUNICIPALIDAD DE FUTALEUFÚ","MU095","9,50","2014"
"MUNICIPALIDAD DE HUALAIHUÉ","MU103","47,50","2014"
"MUNICIPALIDAD DE HUARA","MU107","3,80","2014"
"MUNICIPALIDAD DE IQUIQUE","MU112","94,30","2014"
"MUNICIPALIDAD DE LAGUNA BLANCA","MU130","92,85","2014"
"MUNICIPALIDAD DE LLANQUIHUE","MU142","91,20","2014"
"MUNICIPALIDAD DE ANTUCO","MU010","51,79","2014"
"MUNICIPALIDAD DE CABRERO","MU018","96,20","2014"
"MUNICIPALIDAD DE CAUQUENES","MU033","16,15","2014"
"MUNICIPALIDAD DE CHANCO","MU037","24,70","2014"
"MUNICIPALIDAD DE CHIGUAYANTE","MU040","96,20","2014"
"MUNICIPALIDAD DE ALHUÉ","MU002","12,35","2014"
"MUNICIPALIDAD DE ALTO DEL CARMEN","MU004","81,00","2014"
"MUNICIPALIDAD DE ANTOFAGASTA","MU009","93,35","2014"
"MUNICIPALIDAD DE BUIN","MU014","47,50","2014"
"MUNICIPALIDAD DE CALAMA","MU019","52,50","2014"
"MUNICIPALIDAD DE CALDERA","MU021","47,80","2014"
"MUNICIPALIDAD DE CALERA DE TANGO","MU022","54,63","2014"
"MUNICIPALIDAD DE CERRILLOS","MU034","91,09","2014"
"MUNICIPALIDAD DE CHAÑARAL","MU038","95,25","2014"
"MUNICIPALIDAD DE COPIAPÓ","MU066","92,93","2014"
"MUNICIPALIDAD DE CURACAVÍ","MU073","75,23","2014"
"MUNICIPALIDAD DE ALTO BÍOBÍO","MU003","12,35","2014"
"MUNICIPALIDAD DE ANGOL","MU008","14,25","2014"
"MUNICIPALIDAD DE ARAUCO","MU011","90,85","2014"
"MUNICIPALIDAD DE BULNES","MU015","93,35","2014"
"MUNICIPALIDAD DE CAÑETE","MU027","93,35","2014"
"MUNICIPALIDAD DE SAN CARLOS","MU282","90,35","2014"
"MUNICIPALIDAD DE CHILE CHICO","MU041","19,95","2014"
"MUNICIPALIDAD DE CHILLÁN","MU042","87,65","2014"
"MUNICIPALIDAD DE CHILLÁN VIEJO","MU043","93,35","2014"
"MUNICIPALIDAD DE CISNES","MU047","89,30","2014"
"MUNICIPALIDAD DE COBQUECURA","MU048","51,88","2014"
"MUNICIPALIDAD DE CODEGUA","MU051","92,75","2014"
"MUNICIPALIDAD DE COINCO","MU054","94,75","2014"
"MUNICIPALIDAD DE COLTAUCO","MU059","100,00","2014"
"MUNICIPALIDAD DE DOÑIHUE","MU081","100,00","2014"
"MUNICIPALIDAD DE GRANEROS","MU100","95,70","2014"
"MUNICIPALIDAD DE LA CISTERNA","MU117","97,50","2014"
"MUNICIPALIDAD DE LA ESTRELLA","MU119","69,22","2014"
"MUNICIPALIDAD DE LAMPA","MU132","11,40","2014"
"MUNICIPALIDAD DE LAS CABRAS","MU134","20,90","2014"
"MUNICIPALIDAD DE LITUECHE","MU141","49,40","2014"
"MUNICIPALIDAD DE LOLOL","MU147","6,65","2014"
"MUNICIPALIDAD DE MACHALÍ","MU160","96,65","2014"
"MUNICIPALIDAD DE MALLOA","MU164","47,50","2014"
"MUNICIPALIDAD DE LOS MUERMOS","MU155","78,83","2014"
