CodigoInstitucion,Nombre,Puntaje,Ano
MU249,MUNICIPALIDAD DE QUILACO,87.34,2018
MU255,MUNICIPALIDAD DE QUINCHAO,88.66,2018
MU167,MUNICIPALIDAD DE MARÍA PINTO,81.00,2018
MU186,MUNICIPALIDAD DE ÑUÑOA,93.66,2018
MU069,MUNICIPALIDAD DE CORRAL,100.00,2018
MU329,MUNICIPALIDAD DE TUCAPEL,81.00,2018
MU006,MUNICIPALIDAD DE ANCUD,93.22,2018
MU128,MUNICIPALIDAD DE LAGO RANCO,100.00,2018
MU246,MUNICIPALIDAD DE QUEILÉN,93.22,2018
MU127,MUNICIPALIDAD DE LA UNIÓN,100.00,2018
MU089,MUNICIPALIDAD DE ESTACIÓN CENTRAL,93.22,2018
MU242,MUNICIPALIDAD DE PURRANQUE,100.00,2018
MU031,MUNICIPALIDAD DE CASTRO,93.22,2018
MU301,MUNICIPALIDAD DE SAN RAMÓN,100.00,2018
MU168,MUNICIPALIDAD DE MARIQUINA,93.22,2018
MU228,MUNICIPALIDAD DE PROVIDENCIA,100.00,2018
MU196,MUNICIPALIDAD DE PAILLACO,0.00,2018
MU197,MUNICIPALIDAD DE PAINE,100.00,2018
MU211,MUNICIPALIDAD DE PEÑAFLOR,100.00,2018
MU034,MUNICIPALIDAD DE CERRILLOS,100.00,2018
MU233,MUNICIPALIDAD DE PUERTO MONTT,91.74,2018
MU020,MUNICIPALIDAD DE CALBUCO,100.00,2018
MU079,MUNICIPALIDAD DE DALCAHUE,100.00,2018
MU235,MUNICIPALIDAD DE PUERTO OCTAY,87.34,2018
MU162,MUNICIPALIDAD DE MÁFIL,100.00,2018
MU308,MUNICIPALIDAD DE SANTIAGO,83.23,2018
MU170,MUNICIPALIDAD DE MAULLÍN,100.00,2018
MU236,MUNICIPALIDAD DE PUERTO VARAS,100.00,2018
MU146,MUNICIPALIDAD DE LO PRADO,100.00,2018
MU330,MUNICIPALIDAD DE VALDIVIA,100.00,2018
MU022,MUNICIPALIDAD DE CALERA DE TANGO,100.00,2018
MU293,MUNICIPALIDAD DE SAN JUAN DE LA COSTA,93.22,2018
MU046,MUNICIPALIDAD DE CHONCHI,93.22,2018
MU124,MUNICIPALIDAD DE LA PINTANA,100.00,2018
MU092,MUNICIPALIDAD DE FREIRINA,100.00,2018
MU088,MUNICIPALIDAD DE ERCILLA,99.29,2018
MU323,MUNICIPALIDAD DE TOLTÉN,87.34,2018
MU336,MUNICIPALIDAD DE VILCÚN,100.00,2018
MU056,MUNICIPALIDAD DE COLCHANE,81.48,2018
MU194,MUNICIPALIDAD DE PADRE LAS CASAS,100.00,2018
MU339,MUNICIPALIDAD DE VILLARRICA,93.22,2018
MU002,MUNICIPALIDAD DE ALHUÉ,0.00,2018
MU172,MUNICIPALIDAD DE MELIPEUCO,0.00,2018
MU189,MUNICIPALIDAD DE OLLAGÜE,0.00,2018
MU263,MUNICIPALIDAD DE RECOLETA,94.41,2018
MU084,MUNICIPALIDAD DE EL MONTE,87.34,2018
MU111,MUNICIPALIDAD DE INDEPENDENCIA,93.66,2018
MU148,MUNICIPALIDAD DE LONCOCHE,86.42,2018
MU112,MUNICIPALIDAD DE IQUIQUE,76.25,2018
MU298,MUNICIPALIDAD DE SAN PEDRO DE ATACAMA,93.22,2018
MU322,MUNICIPALIDAD DE TOCOPILLA,100.00,2018
MU066,MUNICIPALIDAD DE COPIAPÓ,81.00,2018
MU071,MUNICIPALIDAD DE CUNCO,100.00,2018
MU291,MUNICIPALIDAD DE SAN JOAQUÍN,77.65,2018
MU097,MUNICIPALIDAD DE GALVARINO,100.00,2018
MU173,MUNICIPALIDAD DE MELIPILLA,93.22,2018
