"Nombre","CodigoInstitucion","Puntaje","Ano"
"MUNICIPALIDAD DE PORVENIR","MU225","42,20","2013"
"MUNICIPALIDAD DE PRIMAVERA","MU227","74,79","2013"
"MUNICIPALIDAD DE PUNTA ARENAS","MU239","77,91","2013"
"MUNICIPALIDAD DE SAN GREGORIO","MU288","64,26","2013"
"MUNICIPALIDAD DE TIMAUKEL","MU320","8,80","2013"
"MUNICIPALIDAD DE VALDIVIA","MU330","63,38","2013"
"MUNICIPALIDAD DE CHOLCHOL","MU045","58,95","2013"
"MUNICIPALIDAD DE COLLIPULLI","MU058","62,70","2013"
"MUNICIPALIDAD DE CURACAUTÍN","MU072","13,79","2013"
"MUNICIPALIDAD DE FREIRE","MU091","46,75","2013"
"MUNICIPALIDAD DE GORBEA","MU099","74,37","2013"
"MUNICIPALIDAD DE LAUTARO","MU136","50,45","2013"
"MUNICIPALIDAD DE LONCOCHE","MU148","91,60","2013"
"MUNICIPALIDAD DE LONQUIMAY","MU150","23,16","2013"
"MUNICIPALIDAD DE MELIPEUCO","MU172","31,92","2013"
"MUNICIPALIDAD DE PADRE LAS CASAS","MU194","96,31","2013"
"MUNICIPALIDAD DE PERQUENCO","MU214","42,63","2013"
"MUNICIPALIDAD DE PITRUFQUÉN","MU222","72,40","2013"
"MUNICIPALIDAD DE PUCÓN","MU230","34,08","2013"
"MUNICIPALIDAD DE RENAICO","MU264","54,35","2013"
"MUNICIPALIDAD DE VILLARRICA","MU339","44,44","2013"
"MUNICIPALIDAD DE CONCÓN","MU063","70,63","2013"
"MUNICIPALIDAD DE EL QUISCO","MU085","55,21","2013"
"MUNICIPALIDAD DE HIJUELAS","MU102","37,78","2013"
"MUNICIPALIDAD DE ISLA DE PASCUA","MU114","25,83","2013"
"MUNICIPALIDAD DE LA LIGUA","MU123","87,54","2013"
"MUNICIPALIDAD DE LOS ANDES","MU152","16,21","2013"
"MUNICIPALIDAD DE PAPUDO","MU202","30,63","2013"
"MUNICIPALIDAD DE QUILLOTA","MU253","95,52","2013"
"MUNICIPALIDAD DE SANTO DOMINGO","MU309","41,33","2013"
"MUNICIPALIDAD DE VILLA ALEMANA","MU338","64,99","2013"
"MUNICIPALIDAD DE COLTAUCO","MU059","62,74","2013"
"MUNICIPALIDAD DE DOÑIHUE","MU081","91,47","2013"
"MUNICIPALIDAD DE LA ESTRELLA","MU119","22,55","2013"
"MUNICIPALIDAD DE LITUECHE","MU141","7,32","2013"
"MUNICIPALIDAD DE LOLOL","MU147","13,30","2013"
"MUNICIPALIDAD DE MACHALÍ","MU160","93,17","2013"
"MUNICIPALIDAD DE MOSTAZAL","MU176","48,48","2013"
"MUNICIPALIDAD DE NAVIDAD","MU180","55,15","2013"
"MUNICIPALIDAD DE PAREDONES","MU203","47,68","2013"
"MUNICIPALIDAD DE PICHIDEGUA","MU218","89,14","2013"
"MUNICIPALIDAD DE PICHILEMU","MU219","82,74","2013"
"MUNICIPALIDAD DE PUMANQUE","MU237","23,04","2013"
"MUNICIPALIDAD DE QUINTA DE TILCOCO","MU256","34,92","2013"
