CodigoInstitucion,Nombre,Puntaje,Ano
MU334,MUNICIPALIDAD DE VICTORIA,72.97,2016
MU004,MUNICIPALIDAD DE ALTO DEL CARMEN,75.58,2016
MU221,MUNICIPALIDAD DE PIRQUE,96.31,2016
MU246,MUNICIPALIDAD DE QUEILÉN,81.31,2016
MU189,MUNICIPALIDAD DE OLLAGÜE,37.46,2016
MU300,MUNICIPALIDAD DE SAN RAFAEL,47.37,2016
MU239,MUNICIPALIDAD DE PUNTA ARENAS,87.44,2016
MU244,MUNICIPALIDAD DE PUTRE,75.42,2016
MU255,MUNICIPALIDAD DE QUINCHAO,66.13,2016
MU020,MUNICIPALIDAD DE CALBUCO,85.91,2016
MU027,MUNICIPALIDAD DE CAÑETE,84.06,2016
MU143,MUNICIPALIDAD DE LLAY LLAY,84.45,2016
MU248,MUNICIPALIDAD DE QUEMCHI,91.17,2016
MU286,MUNICIPALIDAD DE SAN FELIPE,96.91,2016
MU126,MUNICIPALIDAD DE LA SERENA,91.72,2016
MU159,MUNICIPALIDAD DE LUMACO,74.10,2016
MU285,MUNICIPALIDAD DE SAN FABIÁN,39.25,2016
MU212,MUNICIPALIDAD DE PEÑALOLÉN,95.54,2016
MU199,MUNICIPALIDAD DE PALMILLA,73.13,2016
MU207,MUNICIPALIDAD DE PELLUHUE,61.44,2016
MU144,MUNICIPALIDAD DE LO BARNECHEA,72.15,2016
MU058,MUNICIPALIDAD DE COLLIPULLI,94.83,2016
MU003,MUNICIPALIDAD DE ALTO BÍOBÍO,57.69,2016
MU297,MUNICIPALIDAD DE SAN PEDRO DE MELIPILLA,38.97,2016
MU046,MUNICIPALIDAD DE CHONCHI,79.22,2016
MU307,MUNICIPALIDAD DE SANTA MARÍA,87.00,2016
MU099,MUNICIPALIDAD DE GORBEA,85.03,2016
MU131,MUNICIPALIDAD DE LAJA,94.96,2016
MU168,MUNICIPALIDAD DE MARIQUINA,69.34,2016
MU162,MUNICIPALIDAD DE MÁFIL,80.11,2016
MU083,MUNICIPALIDAD DE EL CARMEN,79.13,2016
MU133,MUNICIPALIDAD DE LANCO,69.12,2016
MU160,MUNICIPALIDAD DE MACHALÍ,84.78,2016
MU136,MUNICIPALIDAD DE LAUTARO,91.36,2016
MU304,MUNICIPALIDAD DE SANTA BÁRBARA,82.91,2016
MU309,MUNICIPALIDAD DE SANTO DOMINGO,82.41,2016
MU117,MUNICIPALIDAD DE LA CISTERNA,79.05,2016
MU227,MUNICIPALIDAD DE PRIMAVERA,95.40,2016
MU156,MUNICIPALIDAD DE LOS SAUCES,88.09,2016
MU284,MUNICIPALIDAD DE SAN ESTEBAN,92.82,2016
MU132,MUNICIPALIDAD DE LAMPA,84.72,2016
MU103,MUNICIPALIDAD DE HUALAIHUÉ,72.23,2016
MU114,MUNICIPALIDAD DE ISLA DE PASCUA,95.76,2016
MU292,MUNICIPALIDAD DE SAN JOSÉ DE MAIPO,61.01,2016
MU194,MUNICIPALIDAD DE PADRE LAS CASAS,99.20,2016
MU154,MUNICIPALIDAD DE LOS LAGOS,85.90,2016
MU051,MUNICIPALIDAD DE CODEGUA,99.16,2016
MU320,MUNICIPALIDAD DE TIMAUKEL,88.40,2016
MU250,MUNICIPALIDAD DE QUILICURA,98.61,2016
MU321,MUNICIPALIDAD DE TIRÚA,65.32,2016
MU163,MUNICIPALIDAD DE MAIPÚ,93.33,2016
MU171,MUNICIPALIDAD DE MEJILLONES,90.25,2016
MU055,MUNICIPALIDAD DE COLBÚN,89.65,2016
MU081,MUNICIPALIDAD DE DOÑIHUE,98.65,2016
MU232,MUNICIPALIDAD DE PUENTE ALTO,90.55,2016
MU240,MUNICIPALIDAD DE PUQUELDÓN,65.19,2016
MU074,MUNICIPALIDAD DE CURACO DE VÉLEZ,65.71,2016
MU288,MUNICIPALIDAD DE SAN GREGORIO,97.10,2016
MU141,MUNICIPALIDAD DE LITUECHE,58.58,2016
MU022,MUNICIPALIDAD DE CALERA DE TANGO,78.97,2016
MU185,MUNICIPALIDAD DE ÑIQUÉN,81.67,2016
MU215,MUNICIPALIDAD DE PETORCA,90.28,2016
MU039,MUNICIPALIDAD DE CHÉPICA,97.38,2016
MU186,MUNICIPALIDAD DE ÑUÑOA,89.71,2016
MU002,MUNICIPALIDAD DE ALHUÉ,62.98,2016
MU249,MUNICIPALIDAD DE QUILACO,62.93,2016
MU012,MUNICIPALIDAD DE ARICA,86.29,2016
MU106,MUNICIPALIDAD DE HUALQUI,96.57,2016
MU313,MUNICIPALIDAD DE TALCAHUANO,94.21,2016
MU084,MUNICIPALIDAD DE EL MONTE,29.90,2016
MU111,MUNICIPALIDAD DE INDEPENDENCIA,77.55,2016
MU223,MUNICIPALIDAD DE PLACILLA,65.30,2016
MU142,MUNICIPALIDAD DE LLANQUIHUE,48.38,2016
MU040,MUNICIPALIDAD DE CHIGUAYANTE,40.05,2016
MU166,MUNICIPALIDAD DE MARÍA ELENA,51.23,2016
MU120,MUNICIPALIDAD DE LA FLORIDA,93.51,2016
MU343,MUNICIPALIDAD DE YUMBEL,60.83,2016
MU344,MUNICIPALIDAD DE YUNGAY,63.26,2016
MU208,MUNICIPALIDAD DE PEMUCO,48.93,2016
MU130,MUNICIPALIDAD DE LAGUNA BLANCA,94.32,2016
MU314,MUNICIPALIDAD DE TALTAL,50.13,2016
MU123,MUNICIPALIDAD DE LA LIGUA,86.68,2016
MU260,MUNICIPALIDAD DE RANCAGUA,98.71,2016
MU007,MUNICIPALIDAD DE ANDACOLLO,65.21,2016
MU036,MUNICIPALIDAD DE CHAITÉN,91.57,2016
MU038,MUNICIPALIDAD DE CHAÑARAL,77.62,2016
MU035,MUNICIPALIDAD DE CERRO NAVIA,87.23,2016
MU179,MUNICIPALIDAD DE NANCAGUA,54.24,2016
MU151,MUNICIPALIDAD DE LOS ALAMOS,64.71,2016
MU230,MUNICIPALIDAD DE PUCÓN,76.23,2016
MU201,MUNICIPALIDAD DE PANQUEHUE,83.51,2016
MU278,MUNICIPALIDAD DE SAGRADA FAMILIA,74.40,2016
MU116,MUNICIPALIDAD DE LA CALERA,87.10,2016
MU269,MUNICIPALIDAD DE RINCONADA,86.69,2016
MU180,MUNICIPALIDAD DE NAVIDAD,41.61,2016
MU078,MUNICIPALIDAD DE CURICÓ,93.33,2016
MU275,MUNICIPALIDAD DE RÍO VERDE,73.81,2016
MU014,MUNICIPALIDAD DE BUIN,59.51,2016
MU209,MUNICIPALIDAD DE PENCAHUE,67.75,2016
MU337,MUNICIPALIDAD DE VILLA ALEGRE,83.08,2016
MU308,MUNICIPALIDAD DE SANTIAGO,91.67,2016
MU224,MUNICIPALIDAD DE PORTEZUELO,79.73,2016
MU193,MUNICIPALIDAD DE PADRE HURTADO,76.55,2016
MU283,MUNICIPALIDAD DE SAN CLEMENTE,92.97,2016
MU256,MUNICIPALIDAD DE QUINTA DE TILCOCO,76.84,2016
MU274,MUNICIPALIDAD DE RÍO NEGRO,69.42,2016
MU261,MUNICIPALIDAD DE RÁNQUIL,86.49,2016
MU140,MUNICIPALIDAD DE LINARES,73.14,2016
MU245,MUNICIPALIDAD DE PUYEHUE,69.65,2016
MU088,MUNICIPALIDAD DE ERCILLA,78.77,2016
MU100,MUNICIPALIDAD DE GRANEROS,75.16,2016
MU252,MUNICIPALIDAD DE QUILLÓN,86.09,2016
MU202,MUNICIPALIDAD DE PAPUDO,96.29,2016
MU098,MUNICIPALIDAD DE GENERAL LAGOS,80.30,2016
MU107,MUNICIPALIDAD DE HUARA,78.63,2016
MU113,MUNICIPALIDAD DE ISLA DE MAIPO,72.28,2016
MU211,MUNICIPALIDAD DE PEÑAFLOR,94.04,2016
MU062,MUNICIPALIDAD DE CONCHALÍ,85.51,2016
MU205,MUNICIPALIDAD DE PEDRO AGUIRRE CERDA,94.61,2016
MU276,MUNICIPALIDAD DE ROMERAL,45.03,2016
MU119,MUNICIPALIDAD DE LA ESTRELLA,49.84,2016
MU174,MUNICIPALIDAD DE MOLINA,59.35,2016
MU073,MUNICIPALIDAD DE CURACAVÍ,96.71,2016
MU013,MUNICIPALIDAD DE PUERTO AYSÉN,59.42,2016
MU272,MUNICIPALIDAD DE RÍO HURTADO,62.76,2016
MU289,MUNICIPALIDAD DE SAN IGNACIO,49.41,2016
MU128,MUNICIPALIDAD DE LAGO RANCO,78.47,2016
MU077,MUNICIPALIDAD DE CUREPTO,77.64,2016
MU034,MUNICIPALIDAD DE CERRILLOS,74.69,2016
MU135,MUNICIPALIDAD DE LAS CONDES,74.57,2016
MU042,MUNICIPALIDAD DE CHILLÁN,91.68,2016
MU147,MUNICIPALIDAD DE LOLOL,57.79,2016
MU336,MUNICIPALIDAD DE VILCÚN,99.62,2016
MU184,MUNICIPALIDAD DE NUEVA IMPERIAL,86.77,2016
MU066,MUNICIPALIDAD DE COPIAPÓ,95.18,2016
MU217,MUNICIPALIDAD DE PICA,89.85,2016
MU021,MUNICIPALIDAD DE CALDERA,78.77,2016
MU091,MUNICIPALIDAD DE FREIRE,60.99,2016
MU264,MUNICIPALIDAD DE RENAICO,72.34,2016
MU047,MUNICIPALIDAD DE CISNES,92.28,2016
MU093,MUNICIPALIDAD DE FRESIA,73.49,2016
MU044,MUNICIPALIDAD DE CHIMBARONGO,76.78,2016
MU121,MUNICIPALIDAD DE LA GRANJA,81.67,2016
MU115,MUNICIPALIDAD DE JUAN FERNÁNDEZ,65.81,2016
