region,cut_com,commune,forms,news,search,webmap,streetmap,transport,socialmedia,email,phone,mobile,transac,followup,digital_certificate,citizen,payments,personalization,part
ARICA Y PARINACOTA,15101,ARICA,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0
ARICA Y PARINACOTA,15102,CAMARONES,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
ARICA Y PARINACOTA,15201,GENERAL LAGOS,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
ARICA Y PARINACOTA,15201,PUTRE,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
TARAPACA,1107,ALTO HOSPICIO,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
TARAPACA,1402,CAMIÑA,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
TARAPACA,1403,COLCHANE,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TARAPACA,1404,HUARA,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0
TARAPACA,1101,IQUIQUE,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0
TARAPACA,1405,PICA,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0
TARAPACA,1401,POZO ALMONTE,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
ANTOFAGASTA,2101,ANTOFAGASTA,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0
ANTOFAGASTA,2201,CALAMA,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0
ANTOFAGASTA,2302,MARIA ELENA,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
ANTOFAGASTA,2102,MEJILLONES,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0
ANTOFAGASTA,2202,OLLAGUE,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
ANTOFAGASTA,2203,SAN PEDRO DE ATACAMA,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
ANTOFAGASTA,2103,SIERRA GORDA,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
ANTOFAGASTA,2104,TALTAL,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0
ANTOFAGASTA,2301,TOCOPILLA,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
ATACAMA,3302,ALTO DEL CARMEN,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
ATACAMA,3102,CALDERA,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0
ATACAMA,3201,CHAÑARAL,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
ATACAMA,3101,COPIAPO,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
ATACAMA,3202,DIEGO DE ALMAGRO,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
ATACAMA,3303,FREIRINA,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0
ATACAMA,3304,HUASCO,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
ATACAMA,3103,TIERRA AMARILLA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
ATACAMA,3301,VALLENAR,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0
COQUIMBO,4103,ANDACOLLO,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
COQUIMBO,4202,CANELA,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
COQUIMBO,4302,COMBARBALA,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
COQUIMBO,4102,COQUIMBO,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0
COQUIMBO,4201,ILLAPEL,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
COQUIMBO,4104,LA HIGUERA,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
COQUIMBO,4101,LA SERENA,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0
COQUIMBO,4203,LOS VILOS,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0
COQUIMBO,4303,MONTE PATRIA,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0
COQUIMBO,4301,OVALLE,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0
COQUIMBO,4105,PAIHUANO,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
COQUIMBO,4304,PUNITAQUI,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0
COQUIMBO,4305,RIO HURTADO,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0
COQUIMBO,4204,SALAMANCA,,,,,,,,,,,,,,,,,
COQUIMBO,4106,VICUÑA,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
VALPARAISO,5602,ALGARROBO,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0
VALPARAISO,5402,CABILDO,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0
VALPARAISO,5502,CALERA,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0
VALPARAISO,5302,CALLE LARGA,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0
VALPARAISO,5603,CARTAGENA,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
VALPARAISO,5102,CASABLANCA,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
VALPARAISO,5702,CATEMU,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0
VALPARAISO,5103,CONCON,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0
VALPARAISO,5604,EL QUISCO,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
VALPARAISO,5605,EL TABO,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0
VALPARAISO,5503,HIJUELAS,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
VALPARAISO,5201,ISLA DE PASCUA,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
VALPARAISO,5104,JUAN FERNANDEZ,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
VALPARAISO,5504,LA CRUZ,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0
VALPARAISO,5401,LA LIGUA,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
VALPARAISO,5802,LIMACHE,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0
VALPARAISO,5703,LLAY-LLAY,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
VALPARAISO,5301,LOS ANDES,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0
VALPARAISO,5506,NOGALES,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
VALPARAISO,5803,OLMUE,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1
VALPARAISO,5704,PANQUEHUE,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0
VALPARAISO,5403,PAPUDO,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1
VALPARAISO,5404,PETORCA,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0
VALPARAISO,5105,PUCHUNCAVI,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0
VALPARAISO,5705,PUTAENDO,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
VALPARAISO,5501,QUILLOTA,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0
VALPARAISO,5801,QUILPUE,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0
VALPARAISO,5107,QUINTERO,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0
VALPARAISO,5303,RINCONADA,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0
VALPARAISO,5601,SAN ANTONIO,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1
VALPARAISO,5304,SAN ESTEBAN,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1
VALPARAISO,5701,SAN FELIPE,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0
VALPARAISO,5706,SANTA MARIA,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0
VALPARAISO,5606,SANTO DOMINGO,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1
VALPARAISO,5101,VALPARAISO,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1
VALPARAISO,5804,VILLA ALEMANA,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0
VALPARAISO,5109,VIÑA DEL MAR,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1
VALPARAISO,5405,ZAPALLAR,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
METROPOLITANA,13502,ALHUE,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0
METROPOLITANA,13402,BUIN,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
METROPOLITANA,13403,CALERA DE TANGO,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
METROPOLITANA,13102,CERRILLOS,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0
METROPOLITANA,13103,CERRO NAVIA,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0
METROPOLITANA,13301,COLINA,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0
METROPOLITANA,13104,CONCHALI,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1
METROPOLITANA,13503,CURACAVI,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0
METROPOLITANA,13105,EL BOSQUE,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0
METROPOLITANA,13602,EL MONTE,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
METROPOLITANA,13106,ESTACION CENTRAL,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0
METROPOLITANA,13107,HUECHURABA,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0
METROPOLITANA,13108,INDEPENDENCIA,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0
METROPOLITANA,13603,ISLA DE MAIPO,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
METROPOLITANA,13109,LA CISTERNA,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0
METROPOLITANA,13110,LA FLORIDA,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0
METROPOLITANA,13111,LA GRANJA,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0
METROPOLITANA,13302,LAMPA,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0
METROPOLITANA,13112,LA PINTANA,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0
METROPOLITANA,13113,LA REINA,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
METROPOLITANA,13114,LAS CONDES,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
METROPOLITANA,13115,LO BARNECHEA,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
METROPOLITANA,13116,LO ESPEJO,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0
METROPOLITANA,13117,LO PRADO,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0
METROPOLITANA,13118,MACUL,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
METROPOLITANA,13119,MAIPU,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0
METROPOLITANA,13504,MARIA PINTO,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0
METROPOLITANA,13501,MELIPILLA,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0
METROPOLITANA,13120,ÑUÑOA,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0
METROPOLITANA,13604,PADRE HURTADO,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0
METROPOLITANA,13404,PAINE,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
METROPOLITANA,13121,PEDRO AGUIRRE CERDA,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0
METROPOLITANA,13605,PEÑAFLOR,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1
METROPOLITANA,13122,PEÑALOLEN,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0
METROPOLITANA,13202,PIRQUE,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0
METROPOLITANA,13123,PROVIDENCIA,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
METROPOLITANA,13124,PUDAHUEL,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
METROPOLITANA,13201,PUENTE ALTO,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
METROPOLITANA,13125,QUILICURA,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0
METROPOLITANA,13126,QUINTA NORMAL,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0
METROPOLITANA,13127,RECOLETA,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
METROPOLITANA,13128,RENCA,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0
