commune,region,cut_com,url,date_review,time_review,forms,news,search,webmap,streetmap,transportation,socialmedia,email,phone,mobile,online_procedures,followup,digital_certificate,citizen_folder,payments,personalization,participation,pladeco,pagespeed_mobile,pagespeed_desktop
ARICA,ARICA Y PARINACOTA,15101,https://www.muniarica.cl/home,03/11/2021,12:30 PM,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,8,34
CAMARONES,ARICA Y PARINACOTA,15102,https://municamarones.cl/,03/11/2021,12:45 PM,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,17,12
GENERAL LAGOS,ARICA Y PARINACOTA,15202,https://www.portalvisviri.cl/,03/11/2021,12:58 PM,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,42,60
PUTRE,ARICA Y PARINACOTA,15201,https://imputre.cl/,03/11/2021,1:11 PM,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,17,46
ALTO HOSPICIO,TARAPACA,1107,https://maho.cl/web/,03/11/2021,1:18 PM,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,14,41
CAMIÑA,TARAPACA,1402,http://www.xn--municipalidaddecamia-m7b.cl/,03/11/2021,1:27 PM,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,30,72
COLCHANE,TARAPACA,1403,https://www.imcolchane.cl/,03/11/2021,1:32 PM,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,14,62
HUARA,TARAPACA,1404,https://www.imhuara.cl/,03/11/2021,1:40 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,19,74
IQUIQUE,TARAPACA,1101,http://www.municipioiquique.cl/,03/11/2021,1:57 PM,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,31,63
PICA,TARAPACA,1405,http://www.municipalidadpica.cl/www2/,03/11/2021,2:06 PM,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,6,37
POZO ALMONTE,TARAPACA,1401,https://www.impa.gob.cl/www/,03/11/2021,2:14 PM,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,46,42
ANTOFAGASTA,ANTOFAGASTA,2101,https://www.municipalidaddeantofagasta.cl/,03/11/2021,3:54 PM,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,15,39
CALAMA,ANTOFAGASTA,2201,https://www.municipalidadcalama.cl/home,03/11/2021,4:03 PM,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,8,10
MARIA ELENA,ANTOFAGASTA,2302,https://www.imme.cl/municipalidad/,03/11/2021,4:08 PM,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,11,35
MEJILLONES,ANTOFAGASTA,2102,https://www.mejillones.cl/,03/11/2021,4:16 PM,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,12,15
OLLAGUE,ANTOFAGASTA,2202,www.municipalidaddeollague.cl,03/11/2021,4:26 PM,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,29,86
SAN PEDRO DE ATACAMA,ANTOFAGASTA,2203,https://www.municipiosanpedrodeatacama.cl/,03/11/2021,4:30 PM,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,60,93
SIERRA GORDA,ANTOFAGASTA,2103,https://municipalidadsierragorda.cl/,03/11/2021,4:37 PM,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,15,37
TALTAL,ANTOFAGASTA,2104,https://portal.municipalidadtaltal.cl/,03/11/2021,4:46 PM,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,31,50
