commune,cut,sae_2020,lower_sae_2020,upper_sae_2020
Arica,15101,0.117570668,0.102854018,0.132287319
Camarones,15102,0.227938402,0.156078489,0.299798315
Putre,15201,0.204430941,0.143766963,0.265094919
General Lagos,15202,0.257918631,0.185909016,0.329928246
Iquique,1101,0.123547673,0.106848904,0.140246443
Alto Hospicio,1107,0.160921833,0.138836649,0.183007016
Pozo Almonte,1401,0.156467421,0.119306301,0.193628541
Camiña,1402,0.227880149,0.166805292,0.288955005
Colchane,1403,0.210870069,0.136969012,0.284771127
Huara,1404,0.202957191,0.156403288,0.249511095
Pica,1405,0.167978268,0.131299886,0.20465665
Antofagasta,2101,0.082542099,0.065950869,0.099133328
Mejillones,2102,0.129152026,0.090538154,0.167765898
Sierra Gorda,2103,0.128003906,0.07947683,0.176530982
Taltal,2104,0.131619126,0.09195347,0.171284782
Calama,2201,0.106043613,0.081374753,0.130712472
Ollagüe,2202,0.131515695,0.036605934,0.226425455
San Pedro De Atacama,2203,0.145717885,0.103854977,0.187580794
Tocopilla,2301,0.085953664,0.051502022,0.120405306
María Elena,2302,0.175498078,0.122906153,0.228090003
Copiapó,3101,0.086337823,0.075043754,0.097631892
Caldera,3102,0.103117939,0.076207854,0.130028024
Tierra Amarilla,3103,0.123115983,0.090207797,0.15602417
Chañaral,3201,0.101591057,0.070409024,0.13277309
Diego De Almagro,3202,0.083172325,0.060297003,0.106047646
Vallenar,3301,0.10213601,0.081264937,0.123007082
Alto Del Carmen,3302,0.127713829,0.082291235,0.173136423
Freirina,3303,0.128259208,0.090461146,0.16605727
Huasco,3304,0.09818845,0.069312247,0.127064653
La Serena,4101,0.115884682,0.091163622,0.140605742
Coquimbo,4102,0.107583661,0.083183286,0.131984037
Andacollo,4103,0.111683882,0.078255571,0.145112193
La Higuera,4104,0.155262628,0.111119377,0.199405879
Paiguano,4105,0.120908627,0.081625211,0.160192043
Vicuña,4106,0.139967037,0.103146236,0.176787839
Illapel,4201,0.119500918,0.081891106,0.15711073
Canela,4202,0.145779195,0.102603796,0.188954594
Los Vilos,4203,0.148974254,0.109211814,0.188736693
Salamanca,4204,0.096059134,0.061563032,0.130555235
Ovalle,4301,0.111218834,0.081920834,0.140516834
Combarbalá,4302,0.133880004,0.096000992,0.171759016
Monte Patria,4303,0.16050976,0.125044703,0.195974818
Punitaqui,4304,0.14613779,0.110748764,0.181526817
Río Hurtado,4305,0.129743084,0.092287849,0.167198319
Valparaíso,5101,0.133443939,0.10859155,0.158296327
Casablanca,5102,0.095971976,0.066811359,0.125132593
Concón,5103,0.081844323,0.055694377,0.107994269
Juan Fernández,5104,0.122933149,0.076867949,0.168998349
Puchuncaví,5105,0.133005495,0.100507715,0.165503275
Quintero,5107,0.13584353,0.102837495,0.168849565
Viña Del Mar,5109,0.109844046,0.089819631,0.129868461
Isla De Pascua,5201,0.11754264,0.067005706,0.168079574
Los Andes,5301,0.103186257,0.076968984,0.129403531
Calle Larga,5302,0.114329748,0.082487294,0.146172202
Rinconada,5303,0.121182499,0.087061857,0.15530314
San Esteban,5304,0.107514452,0.07651568,0.138513224
La Ligua,5401,0.132343119,0.097889126,0.166797112
Cabildo,5402,0.085370286,0.050134261,0.120606311
Papudo,5403,0.135167941,0.098437001,0.171898881
Petorca,5404,0.115598459,0.083876988,0.147319931
Zapallar,5405,0.086290451,0.056105793,0.116475109
Quillota,5501,0.102095892,0.073798321,0.130393464
Calera,5502,0.133547831,0.101732381,0.165363281
Hijuelas,5503,0.132284751,0.0983005,0.166269002
La Cruz,5504,0.08594594,0.053805109,0.118086771
Nogales,5506,0.124581194,0.092111348,0.157051039
San Antonio,5601,0.116181242,0.085835667,0.146526817
Algarrobo,5602,0.096476237,0.067886654,0.125065819
Cartagena,5603,0.184174097,0.148065582,0.220282612
El Quisco,5604,0.1189421,0.087159907,0.150724293
El Tabo,5605,0.151149751,0.1119329,0.190366602
Santo Domingo,5606,0.083273423,0.053637589,0.112909257
San Felipe,5701,0.11012968,0.081562998,0.138696363
Catemu,5702,0.110190703,0.082615058,0.137766349
Llaillay,5703,0.125142673,0.092142314,0.158143031
Panquehue,5704,0.106756409,0.081128342,0.132384476
Putaendo,5705,0.13472189,0.103679846,0.165763933
Santa María,5706,0.12228887,0.090884514,0.153693225
Quilpué,5801,0.092694985,0.068569904,0.116820066
Limache,5802,0.104293471,0.073037588,0.135549355
