"code","municipality","year","variable","value"
1101,"IQUIQUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",39263997000
1107,"ALTO HOSPICIO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",11832016000
1401,"POZO ALMONTE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7347385000
1402,"CAMIÑA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1388465000
1403,"COLCHANE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2541517000
1404,"HUARA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3369234000
1405,"PICA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4415847000
2101,"ANTOFAGASTA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",84594228000
2102,"MEJILLONES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8238842000
2103,"SIERRA GORDA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",9566441000
2104,"TALTAL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8436721000
2201,"CALAMA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",43807219000
2202,"OLLAGÜE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2711804000
2203,"SAN PEDRO DE ATACAMA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5180472000
2301,"TOCOPILLA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4856282000
2302,"MARÍA ELENA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4528620000
3101,"COPIAPÓ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",27220570000
3102,"CALDERA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7789849000
3103,"TIERRA AMARILLA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6159368000
3201,"CHAÑARAL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4433358000
3202,"DIEGO DE ALMAGRO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4319008000
3301,"VALLENAR","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8911080000
3302,"ALTO DEL CARMEN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2773300000
3303,"FREIRINA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2182205000
3304,"HUASCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3470113000
4101,"LA SERENA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",50076696000
4102,"COQUIMBO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",41180127000
4103,"ANDACOLLO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3270054000
4104,"LA HIGUERA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3483816000
4105,"PAIGUANO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3188210000
4106,"VICUÑA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",8041687000
4201,"ILLAPEL","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7872653000
4202,"CANELA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2557600000
4203,"LOS VILOS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4547572000
4204,"SALAMANCA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",13793091000
4301,"OVALLE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",18964687000
4302,"COMBARBALÁ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2935611000
4303,"MONTE PATRIA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5168158000
4304,"PUNITAQUI","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2823857000
4305,"RÍO HURTADO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2300184000
5101,"VALPARAÍSO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7.3948e+10
5102,"CASABLANCA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6723640000
5103,"CONCÓN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",10290401000
5104,"JUAN FERNÁNDEZ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",1292760000
5105,"PUCHUNCAVÍ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5393200000
5107,"QUINTERO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",9785600000
5109,"VIÑA DEL MAR","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",88609461000
5201,"ISLA DE PASCUA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7686859000
5301,"LOS ANDES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",12243120000
5302,"CALLE LARGA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3054508000
5303,"RINCONADA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4778142000
5304,"SAN ESTEBAN","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2624892000
5401,"LA LIGUA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5510071000
5402,"CABILDO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2900040000
5403,"PAPUDO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4192780000
5404,"PETORCA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4523549000
5405,"ZAPALLAR","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",11597495000
5501,"QUILLOTA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",16169581000
5502,"CALERA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6627520000
5503,"HIJUELAS","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4232772000
5504,"LA CRUZ","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4599131000
5506,"NOGALES","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",4382738000
5601,"SAN ANTONIO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",18213512000
5602,"ALGARROBO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",5466874000
5603,"CARTAGENA","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7618274000
5604,"EL QUISCO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",7949173000
5605,"EL TABO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",6397509000
5606,"SANTO DOMINGO","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",9670199000
5701,"SAN FELIPE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",13418411000
5702,"CATEMU","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2583723000
5703,"LLAILLAY","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",3603844000
5704,"PANQUEHUE","2016","PRESUPUESTO INICIAL SECTOR MUNICIPAL",2032926000
