"code","municipality","year","variable","value"
1101,"IQUIQUE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",14100514000
1107,"ALTO HOSPICIO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",-232321000
1401,"POZO ALMONTE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",482955000
1402,"CAMIÑA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1710093000
1403,"COLCHANE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",66416000
1404,"HUARA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",786878000
1405,"PICA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1945853000
2101,"ANTOFAGASTA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",20870432000
2102,"MEJILLONES","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1831567000
2103,"SIERRA GORDA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",2385109000
2104,"TALTAL","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",2407480000
2201,"CALAMA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",4988191000
2202,"OLLAGÜE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",823156000
2203,"SAN PEDRO DE ATACAMA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",204587000
2301,"TOCOPILLA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",166800000
2302,"MARÍA ELENA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",611600000
3101,"COPIAPÓ","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",736649000
3102,"CALDERA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",2390433000
3103,"TIERRA AMARILLA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",222400000
3201,"CHAÑARAL","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",507141000
3202,"DIEGO DE ALMAGRO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",3441022000
3301,"VALLENAR","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",726400000
3302,"ALTO DEL CARMEN","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1383911000
3303,"FREIRINA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",436200000
3304,"HUASCO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",99706000
4101,"LA SERENA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1168712000
4102,"COQUIMBO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",89420000
4103,"ANDACOLLO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",867391000
4104,"LA HIGUERA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",65011000
4105,"PAIGUANO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",348459000
4106,"VICUÑA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",724987000
4201,"ILLAPEL","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",0
4202,"CANELA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",640612000
4203,"LOS VILOS","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",637415000
4204,"SALAMANCA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",103498000
4301,"OVALLE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",5265605000
4302,"COMBARBALÁ","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",178343000
4303,"MONTE PATRIA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1528027000
4304,"PUNITAQUI","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",618887000
4305,"RÍO HURTADO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",499717000
5101,"VALPARAÍSO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",2101148000
5102,"CASABLANCA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1361789000
5103,"CONCÓN","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",3802116000
5104,"JUAN FERNÁNDEZ","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",565594000
5105,"PUCHUNCAVÍ","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",718130000
5107,"QUINTERO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",11120000
5109,"VIÑA DEL MAR","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",9164292000
5201,"ISLA DE PASCUA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1101850000
5301,"LOS ANDES","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",286896000
5302,"CALLE LARGA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",332089000
5303,"RINCONADA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",0
5304,"SAN ESTEBAN","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",774231000
5401,"LA LIGUA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1648916000
5402,"CABILDO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1558071000
5403,"PAPUDO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",183881000
5404,"PETORCA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",411746000
5405,"ZAPALLAR","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",3996221000
5501,"QUILLOTA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",402915000
5502,"CALERA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1347837000
5503,"HIJUELAS","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",440390000
5504,"LA CRUZ","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",100080000
5506,"NOGALES","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",847395000
5601,"SAN ANTONIO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",4264194000
5602,"ALGARROBO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",934799000
5603,"CARTAGENA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",3690512000
5604,"EL QUISCO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",5810131000
5605,"EL TABO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",3916139000
5606,"SANTO DOMINGO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",4100302000
5701,"SAN FELIPE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",638259000
5702,"CATEMU","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",22240000
5703,"LLAILLAY","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",111200000
5704,"PANQUEHUE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",412247000
5705,"PUTAENDO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1660183000
5706,"SANTA MARÍA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",11000
5801,"QUILPUÉ","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",7291255000
5802,"LIMACHE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",758690000
5803,"OLMUÉ","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",417435000
5804,"VILLA ALEMANA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",5986696000
6101,"RANCAGUA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",2725032000
6102,"CODEGUA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",287085000
6103,"COINCO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",96107000
6104,"COLTAUCO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",422562000
6105,"DOÑIHUE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",127136000
6106,"GRANEROS","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",895560000
6107,"LAS CABRAS","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",716032000
6108,"MACHALÍ","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1006439000
6109,"MALLOA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",2089951000
6110,"MOSTAZAL","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",8368136000
6111,"OLIVAR","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",28347000
6112,"PEUMO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",471873000
6113,"PICHIDEGUA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",820158000
6114,"QUINTA DE TILCOCO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",-531040000
6115,"RENGO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",848251000
6116,"REQUINOA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",65020000
6117,"SAN VICENTE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",159427000
6201,"PICHILEMU","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",3780940000
6202,"LA ESTRELLA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",143134000
6203,"LITUECHE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",378477000
6204,"MARCHIHUE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",-175570000
6205,"NAVIDAD","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1547906000
6206,"PAREDONES","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",593794000
6301,"SAN FERNANDO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",717178000
6302,"CHÉPICA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",314528000
6303,"CHIMBARONGO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1769915000
6304,"LOLOL","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",-265033000
6305,"NANCAGUA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",463837000
6306,"PALMILLA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",1070837000
6307,"PERALILLO","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",389389000
6308,"PLACILLA","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",422984000
6309,"PUMANQUE","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",119153000
6310,"SANTA CRUZ","2016","PRESUPUESTO VIGENTE SALDO INICIAL DE CAJA SECTOR MUNICIPAL",209616000
