cut,municipality,iadm40,iadm44,iadm41,iadm25,iadm33,isoc013,mocosoc,mcosoc,icar007,itpcm,itpc,itpr,itpu
1101,IQUIQUE,4242286,23533131,38359523,53.39,34.96,1506,1,1,95.72,164666,216514,2403,189065
1107,ALTO HOSPICIO,8829989,2358544,4534704,31.13,29.25,511,1,1,216.67,83630,124150,2491,105884
1401,POZO ALMONTE,2467342,2111080,4168748,,,,,,1.21,11741,16683,5616,10095
1402,CAMIÑA,1929858,8134,119717,36.84,52.63,37,1,1,0.61,1008,1345,1250,0
1403,COLCHANE,1378879,39193,177370,,,,,,0.39,1222,1556,1728,0
1404,HUARA,1759598,116340,1178494,58.33,37.5,137,1,1,0.28,2160,2914,1621,1109
1405,PICA,1555712,1871762,3684994,40,48,163,1,1,0.64,4216,5744,5384,3912
2101,ANTOFAGASTA,10485132,35707565,53505607,25.58,49.91,938,1,1,13.37,308690,410618,7769,354104
2102,MEJILLONES,1614124,4083716,5368026,30.19,47.17,116,1,0,3.72,10614,14143,513,12954
2103,SIERRA GORDA,1592170,2897370,5552789,48.57,54.29,17,1,0,0.13,1276,1690,10186,0
2104,TALTAL,1927346,803661,2912309,,,,,,0.66,9705,13371,2194,11123
2201,CALAMA,6196362,12244888,21369970,25.41,54.1,1192,1,1,11.8,134737,184036,7244,158487
2202,OLLAGÜE,1675201,487833,671643,47.06,23.53,19,0,0,0.1,224,284,321,0
2203,SAN PEDRO DE ATACAMA,4573611,1142896,2876088,,,,,,0.43,7715,10013,5472,5524
2301,TOCOPILLA,3207429,1033015,2581885,15.83,35.83,,0,1,6.85,19979,27659,555,24631
2302,MARÍA ELENA,1213177,2289002,3640260,33.33,51.11,41,1,1,0.55,5060,6749,1532,4925
3101,COPIAPÓ,10063074,9625571,15754671,23.44,45.42,,,,10.16,124276,169528,2975,150962
3102,CALDERA,6336114,1069592,2271776,30.48,50.48,745,1,1,4.1,14105,19149,1887,15775
3103,TIERRA AMARILLA,1637971,3928439,5368794,32.47,40.26,128,0,0,1.27,10251,14187,4084,9935
3201,CHAÑARAL,2252969,984436,2062205,22.92,47.92,260,1,1,2.27,9473,13123,1136,11083
3202,DIEGO DE ALMAGRO,1673116,1019909,2831397,26.76,54.93,251,1,1,0.77,10222,14408,670,13255
3301,VALLENAR,5294501,1754782,4210081,29.65,51.74,367,1,1,7.98,41617,56544,5898,46019
3302,ALTO DEL CARMEN,2099162,285003,1060000,43.18,40.91,206,1,1,0.96,4378,5677,5299,0
3303,FREIRINA,1809382,244746,673697,29.41,61.76,135,1,0,2.12,5584,7589,2452,4589
3304,HUASCO,1851800,1036574,1572214,24.14,60.34,79,1,1,6.93,8262,11102,1247,8902
