"CUT_REG","REGION","CUT_PROV","PROVINCIA","CUT_COM","COMUNA","SUPERFICIE"
1,"Tarapacá","011","Iquique","01101","Iquique",2289.53
1,"Tarapacá","011","Iquique","01107","Alto Hospicio",571.19
1,"Tarapacá","014","Tamarugal","01401","Pozo Almonte",13765.8
1,"Tarapacá","014","Tamarugal","01402","Camiña",2199.83
1,"Tarapacá","014","Tamarugal","01403","Colchane",4007.84
1,"Tarapacá","014","Tamarugal","01404","Huara",10472.5
1,"Tarapacá","014","Tamarugal","01405","Pica",8982.12
2,"Antofagasta","021","Antofagasta","02101","Antofagasta",30683.5
2,"Antofagasta","021","Antofagasta","02102","Mejillones",3576.07
2,"Antofagasta","021","Antofagasta","02103","Sierra Gorda",12883
2,"Antofagasta","021","Antofagasta","02104","Taltal",20412.1
2,"Antofagasta","022","El Loa","02201","Calama",15533.2
2,"Antofagasta","022","El Loa","02202","Ollagüe",2925.54
2,"Antofagasta","022","El Loa","02203","San Pedro de Atacama",23602.2
2,"Antofagasta","023","Tocopilla","02301","Tocopilla",4120.83
2,"Antofagasta","023","Tocopilla","02302","María Elena",12330.1
3,"Atacama","031","Copiapó","03101","Copiapó",17782.9
3,"Atacama","031","Copiapó","03102","Caldera",3680.47
3,"Atacama","031","Copiapó","03103","Tierra Amarilla",11251.1
3,"Atacama","032","Chañaral","03201","Chañaral",5758.87
3,"Atacama","032","Chañaral","03202","Diego de Almagro",18969.2
3,"Atacama","033","Huasco","03301","Vallenar",7226.86
3,"Atacama","033","Huasco","03302","Alto del Carmen",6155.88
3,"Atacama","033","Huasco","03303","Freirina",3222.55
3,"Atacama","033","Huasco","03304","Huasco",1602.25
4,"Coquimbo","041","Elqui","04101","La Serena",1901.22
4,"Coquimbo","041","Elqui","04102","Coquimbo",1431.77
4,"Coquimbo","041","Elqui","04103","Andacollo",514.2
4,"Coquimbo","041","Elqui","04104","La Higuera",4165.74
4,"Coquimbo","041","Elqui","04105","Paiguano",1513.94
4,"Coquimbo","041","Elqui","04106","Vicuña",7579.04
4,"Coquimbo","042","Choapa","04201","Illapel",2629.06
4,"Coquimbo","042","Choapa","04202","Canela",2196.81
4,"Coquimbo","042","Choapa","04203","Los Vilos",1859.5
4,"Coquimbo","042","Choapa","04204","Salamanca",3445.76
4,"Coquimbo","043","Limarí","04301","Ovalle",3546.21
4,"Coquimbo","043","Limarí","04302","Combarbalá",2296.04
4,"Coquimbo","043","Limarí","04303","Monte Patria",4211.35
4,"Coquimbo","043","Limarí","04304","Punitaqui",1092.42
4,"Coquimbo","043","Limarí","04305","Río Hurtado",2204.5
5,"Valparaíso","051","Valparaíso","05101","Valparaíso",310.87
5,"Valparaíso","051","Valparaíso","05102","Casablanca",954.63
5,"Valparaíso","051","Valparaíso","05104","Juan Fernández",110.55
5,"Valparaíso","051","Valparaíso","05105","Puchuncaví",299.68
5,"Valparaíso","051","Valparaíso","05107","Quintero",146.06
5,"Valparaíso","052","Isla de Pascua","05201","Isla de Pascua",163.83
5,"Valparaíso","053","Los Andes","05301","Los Andes",1233.75
5,"Valparaíso","053","Los Andes","05302","Calle Larga",321.23
5,"Valparaíso","053","Los Andes","05303","Rinconada",122.82
5,"Valparaíso","053","Los Andes","05304","San Esteban",1374.51
5,"Valparaíso","054","Petorca","05401","La Ligua",1163.02
5,"Valparaíso","054","Petorca","05402","Cabildo",1455.15
5,"Valparaíso","054","Petorca","05403","Papudo",167.12
5,"Valparaíso","054","Petorca","05404","Petorca",1515.74
5,"Valparaíso","054","Petorca","05405","Zapallar",288.27
5,"Valparaíso","055","Quillota","05502","Calera",59.97
5,"Valparaíso","055","Quillota","05503","Hijuelas",268.15
5,"Valparaíso","055","Quillota","05504","La Cruz",77.86
5,"Valparaíso","055","Quillota","05506","Nogales",405.49
5,"Valparaíso","056","San Antonio","05601","San Antonio",400.04
