"id","year","cut_reg","region","cut_prov","province","cut_com","commune","area","egi","egi_std"
"1",2016,1,"Tarapacá",11,"Iquique",1101,"Iquique",2289.53,NA,NA
"2",2016,1,"Tarapacá",11,"Iquique",1107,"Alto Hospicio",571.19,NA,NA
"3",2016,1,"Tarapacá",14,"Tamarugal",1401,"Pozo Almonte",13765.8,NA,NA
"4",2016,1,"Tarapacá",14,"Tamarugal",1402,"Camiña",2199.83,NA,NA
"5",2016,1,"Tarapacá",14,"Tamarugal",1403,"Colchane",4007.84,NA,NA
"6",2016,1,"Tarapacá",14,"Tamarugal",1404,"Huara",10472.5,NA,NA
"7",2016,1,"Tarapacá",14,"Tamarugal",1405,"Pica",8982.12,NA,NA
"8",2016,2,"Antofagasta",21,"Antofagasta",2101,"Antofagasta",30683.5,NA,NA
"9",2016,2,"Antofagasta",21,"Antofagasta",2102,"Mejillones",3576.07,NA,NA
"10",2016,2,"Antofagasta",21,"Antofagasta",2103,"Sierra Gorda",12883,NA,NA
"11",2016,2,"Antofagasta",21,"Antofagasta",2104,"Taltal",20412.1,NA,NA
"12",2016,2,"Antofagasta",22,"El Loa",2201,"Calama",15533.2,NA,NA
"13",2016,2,"Antofagasta",22,"El Loa",2202,"Ollagüe",2925.54,NA,NA
"14",2016,2,"Antofagasta",22,"El Loa",2203,"San Pedro de Atacama",23602.2,NA,NA
"15",2016,2,"Antofagasta",23,"Tocopilla",2301,"Tocopilla",4120.83,NA,NA
"16",2016,2,"Antofagasta",23,"Tocopilla",2302,"María Elena",12330.1,NA,NA
"17",2016,3,"Atacama",31,"Copiapó",3101,"Copiapó",17782.9,NA,NA
"18",2016,3,"Atacama",31,"Copiapó",3102,"Caldera",3680.47,NA,NA
"19",2016,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",11251.1,NA,NA
"20",2016,3,"Atacama",32,"Chañaral",3201,"Chañaral",5758.87,NA,NA
"21",2016,3,"Atacama",32,"Chañaral",3202,"Diego de Almagro",18969.2,NA,NA
"22",2016,3,"Atacama",33,"Huasco",3301,"Vallenar",7226.86,NA,NA
"23",2016,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",6155.88,NA,NA
"24",2016,3,"Atacama",33,"Huasco",3303,"Freirina",3222.55,NA,NA
"25",2016,3,"Atacama",33,"Huasco",3304,"Huasco",1602.25,NA,NA
"26",2016,4,"Coquimbo",41,"Elqui",4101,"La Serena",1901.22,4.25,4.70945945945946
"27",2016,4,"Coquimbo",41,"Elqui",4102,"Coquimbo",1431.77,3.25,3.60135135135135
"28",2016,4,"Coquimbo",41,"Elqui",4103,"Andacollo",514.2,4.75,5.26351351351351
"29",2016,4,"Coquimbo",41,"Elqui",4104,"La Higuera",4165.74,4.25,4.70945945945946
"30",2016,4,"Coquimbo",41,"Elqui",4105,"Paiguano",1513.94,3,3.32432432432432
"31",2016,4,"Coquimbo",41,"Elqui",4106,"Vicuña",7579.04,4,4.43243243243243
"32",2016,4,"Coquimbo",42,"Choapa",4201,"Illapel",2629.06,4.5,4.98648648648649
"33",2016,4,"Coquimbo",42,"Choapa",4202,"Canela",2196.81,3,3.32432432432432
"34",2016,4,"Coquimbo",42,"Choapa",4203,"Los Vilos",1859.5,4.5,4.98648648648649
"35",2016,4,"Coquimbo",42,"Choapa",4204,"Salamanca",3445.76,3.75,4.15540540540541
"36",2016,4,"Coquimbo",43,"Limarí",4301,"Ovalle",3546.21,3.25,3.60135135135135
"37",2016,4,"Coquimbo",43,"Limarí",4302,"Combarbalá",2296.04,4,4.43243243243243
"38",2016,4,"Coquimbo",43,"Limarí",4303,"Monte Patria",4211.35,3.25,3.60135135135135
"39",2016,4,"Coquimbo",43,"Limarí",4304,"Punitaqui",1092.42,3.25,3.60135135135135
"40",2016,4,"Coquimbo",43,"Limarí",4305,"Río Hurtado",2204.5,3.25,3.60135135135135
"41",2016,5,"Valparaíso",51,"Valparaíso",5101,"Valparaíso",310.87,4.5,4.98648648648649
"42",2016,5,"Valparaíso",51,"Valparaíso",5102,"Casablanca",954.63,1,1.10810810810811
"43",2016,5,"Valparaíso",51,"Valparaíso",5104,"Juan Fernández",110.55,1.5,1.66216216216216
"44",2016,5,"Valparaíso",51,"Valparaíso",5105,"Puchuncaví",299.68,4.5,4.98648648648649
"45",2016,5,"Valparaíso",51,"Valparaíso",5107,"Quintero",146.06,4,4.43243243243243
"46",2016,5,"Valparaíso",52,"Isla de Pascua",5201,"Isla de Pascua",163.83,1.25,1.38513513513514
"47",2016,5,"Valparaíso",53,"Los Andes",5301,"Los Andes",1233.75,4.25,4.70945945945946
"48",2016,5,"Valparaíso",53,"Los Andes",5302,"Calle Larga",321.23,5.5,6.09459459459459
"49",2016,5,"Valparaíso",53,"Los Andes",5303,"Rinconada",122.82,5,5.54054054054054
"50",2016,5,"Valparaíso",53,"Los Andes",5304,"San Esteban",1374.51,3.25,3.60135135135135
"51",2016,5,"Valparaíso",54,"Petorca",5401,"La Ligua",1163.02,1.75,1.93918918918919
"52",2016,5,"Valparaíso",54,"Petorca",5402,"Cabildo",1455.15,1.25,1.38513513513514
"53",2016,5,"Valparaíso",54,"Petorca",5403,"Papudo",167.12,4.75,5.26351351351351
"54",2016,5,"Valparaíso",54,"Petorca",5404,"Petorca",1515.74,3.25,3.60135135135135
"55",2016,5,"Valparaíso",54,"Petorca",5405,"Zapallar",288.27,4,4.43243243243243
"56",2016,5,"Valparaíso",55,"Quillota",5502,"Calera",59.97,0.75,0.831081081081081
"57",2016,5,"Valparaíso",55,"Quillota",5503,"Hijuelas",268.15,4,4.43243243243243
"58",2016,5,"Valparaíso",55,"Quillota",5504,"La Cruz",77.86,1,1.10810810810811
"59",2016,5,"Valparaíso",55,"Quillota",5506,"Nogales",405.49,3.25,3.60135135135135
"60",2016,5,"Valparaíso",56,"San Antonio",5601,"San Antonio",400.04,4.75,5.26351351351351
"61",2016,5,"Valparaíso",56,"San Antonio",5602,"Algarrobo",176.3,4.25,4.70945945945946
"62",2016,5,"Valparaíso",56,"San Antonio",5603,"Cartagena",243.86,1.5,1.66216216216216
"63",2016,5,"Valparaíso",56,"San Antonio",5604,"El Quisco",51.64,5.75,6.37162162162162
"64",2016,5,"Valparaíso",56,"San Antonio",5605,"El Tabo",99.58,1.25,1.38513513513514
"65",2016,5,"Valparaíso",56,"San Antonio",5606,"Santo Domingo",536.92,4.75,5.26351351351351
"66",2016,5,"Valparaíso",57,"San Felipe de Aconcagua",5701,"San Felipe",186.82,NA,NA
"67",2016,5,"Valparaíso",57,"San Felipe de Aconcagua",5702,"Catemu",361.85,3.75,4.15540540540541
"68",2016,5,"Valparaíso",57,"San Felipe de Aconcagua",5703,"Llaillay",348.83,0.5,0.554054054054054
"69",2016,5,"Valparaíso",57,"San Felipe de Aconcagua",5704,"Panquehue",121.26,2.75,3.0472972972973
"70",2016,5,"Valparaíso",57,"San Felipe de Aconcagua",5705,"Putaendo",1451.23,4,4.43243243243243
"71",2016,5,"Valparaíso",57,"San Felipe de Aconcagua",5706,"Santa María",165.71,4,4.43243243243243
"72",2016,5,"Valparaíso",58,"Marga Marga",5801,"Quilpué",536.48,4.75,5.26351351351351
"73",2016,5,"Valparaíso",58,"Marga Marga",5803,"Olmué",231.32,3.25,3.60135135135135
"74",2016,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6101,"Rancagua",260.94,NA,NA
"75",2016,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6102,"Codegua",284.17,NA,NA
"76",2016,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6103,"Coinco",97.34,NA,NA
"77",2016,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6104,"Coltauco",222.02,NA,NA
