"id","year","cut_reg","region","cut_prov","province","cut_com","commune","area","egi","egi_std","ta","dai","sae","iadm40","iadm44","iadm41","iadm25","iadm33","isoc013","mocosoc","mcosoc","icar007","itpcm","itpc","itpr","itpu","internet_con"
"1",2021,1,"Tarapacá",11,"Iquique",1101,"Iquique",2289.53,7.5,NA,NA,NA,NA,4242286,23533131,38359523,53.39,34.96,1506,"1","1",95.72,164666,216514,2403,189065,57075
"2",2021,1,"Tarapacá",11,"Iquique",1107,"Alto Hospicio",571.19,5,NA,NA,NA,NA,8829989,2358544,4534704,31.13,29.25,511,"1","1",216.67,83630,124150,2491,105884,17155
"3",2021,1,"Tarapacá",14,"Tamarugal",1401,"Pozo Almonte",13765.8,5,NA,NA,NA,NA,2467342,2111080,4168748,NA,NA,NA,NA,NA,1.21,11741,16683,5616,10095,1201
"4",2021,1,"Tarapacá",14,"Tamarugal",1402,"Camiña",2199.83,1.75,NA,NA,NA,NA,1929858,8134,119717,36.84,52.63,37,"1","1",0.61,1008,1345,1250,0,8
"5",2021,1,"Tarapacá",14,"Tamarugal",1403,"Colchane",4007.84,2.5,NA,NA,NA,NA,1378879,39193,177370,NA,NA,NA,NA,NA,0.39,1222,1556,1728,0,8
"6",2021,1,"Tarapacá",14,"Tamarugal",1404,"Huara",10472.5,2.5,NA,NA,NA,NA,1759598,116340,1178494,58.33,37.5,137,"1","1",0.28,2160,2914,1621,1109,4
"7",2021,1,"Tarapacá",14,"Tamarugal",1405,"Pica",8982.12,3,NA,NA,NA,NA,1555712,1871762,3684994,40,48,163,"1","1",0.64,4216,5744,5384,3912,108
"8",2021,2,"Antofagasta",21,"Antofagasta",2101,"Antofagasta",30683.5,3.5,NA,NA,NA,NA,10485132,35707565,53505607,25.58,49.91,938,"1","1",13.37,308690,410618,7769,354104,110358
"9",2021,2,"Antofagasta",21,"Antofagasta",2102,"Mejillones",3576.07,3.25,NA,NA,NA,NA,1614124,4083716,5368026,30.19,47.17,116,"1","0",3.72,10614,14143,513,12954,2010
"10",2021,2,"Antofagasta",21,"Antofagasta",2103,"Sierra Gorda",12883,4.5,NA,NA,NA,NA,1592170,2897370,5552789,48.57,54.29,17,"1","0",0.13,1276,1690,10186,0,87
"11",2021,2,"Antofagasta",21,"Antofagasta",2104,"Taltal",20412.1,2.5,NA,NA,NA,NA,1927346,803661,2912309,NA,NA,NA,NA,NA,0.66,9705,13371,2194,11123,1361
"12",2021,2,"Antofagasta",22,"El Loa",2201,"Calama",15533.2,6.75,NA,NA,NA,NA,6196362,12244888,21369970,25.41,54.1,1192,"1","1",11.8,134737,184036,7244,158487,44397
"13",2021,2,"Antofagasta",22,"El Loa",2202,"Ollagüe",2925.54,2.5,NA,NA,NA,NA,1675201,487833,671643,47.06,23.53,19,"0","0",0.1,224,284,321,0,2
"14",2021,2,"Antofagasta",22,"El Loa",2203,"San Pedro de Atacama",23602.2,2.75,NA,NA,NA,NA,4573611,1142896,2876088,NA,NA,NA,NA,NA,0.43,7715,10013,5472,5524,333
"15",2021,2,"Antofagasta",23,"Tocopilla",2301,"Tocopilla",4120.83,1.25,NA,NA,NA,NA,3207429,1033015,2581885,15.83,35.83,NA,"0","1",6.85,19979,27659,555,24631,5676
"16",2021,2,"Antofagasta",23,"Tocopilla",2302,"María Elena",12330.1,2.25,NA,NA,NA,NA,1213177,2289002,3640260,33.33,51.11,41,"1","1",0.55,5060,6749,1532,4925,293
"17",2021,3,"Atacama",31,"Copiapó",3101,"Copiapó",17782.9,8,NA,NA,NA,NA,10063074,9625571,15754671,23.44,45.42,NA,NA,NA,10.16,124276,169528,2975,150962,42865
"18",2021,3,"Atacama",31,"Copiapó",3102,"Caldera",3680.47,7,NA,NA,NA,NA,6336114,1069592,2271776,30.48,50.48,745,"1","1",4.1,14105,19149,1887,15775,990
"19",2021,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",11251.1,2.5,NA,NA,NA,NA,1637971,3928439,5368794,32.47,40.26,128,"0","0",1.27,10251,14187,4084,9935,573
